itemId,description,title
7069,"Scotland, 11th century. Driven by the twisted prophecy of three witches and the ruthless ambition of his wife, warlord Macbeth, bold and brave, but also weak and hesitant, betrays his good king and his brothers in arms and sinks into the bloody mud of a path with no return, sown with crime and suspicion.Drama","Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)"
7070,"Headstrong Thomas Dunson starts a thriving Texas cattle ranch with the help of his faithful trail hand, Groot, and his protégé, Matthew Garth, an orphan Dunson took under his wing when Matt was a boy. In need of money following the Civil War, Dunson and Matt lead a cattle drive to Missouri, where they will get a better price than locally, but the crotchety older man and his willful young partner begin to butt heads on the exhausting journey.Action Adventure Western",Red River (1948)
7071,"Mabel Longhetti, desperate and lonely, is married to a Los Angeles municipal construction worker, Nick. Increasingly unstable, especially in the company of others, she craves happiness, but her extremely volatile behavior convinces Nick that she poses a danger to their family and decides to commit her to an institution for six months. Alone with a trio of kids to raise on his own, he awaits her return, which holds more than a few surprises.Drama","Woman Under the Influence, A (1974)"
7072,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.Action Drama Romance Western",Stagecoach (1939)
7073,Inspector Jacques Clouseau investigates the murder of Mr. Benjamin Ballon's driver at a country estate.Comedy Crime Mystery,"Shot in the Dark, A (1964)"
7074,"The wealthy and impulsive Rollo Treadway decides to propose to his beautiful socialite neighbor, Betsy O'Brien. Although Betsy turns Rollo down, he still opts to go on the cruise that he intended as their honeymoon. When circumstances find both Rollo and Betsy on the wrong ship, they end up having adventures on the high seas.Comedy","Navigator, The (1924)"
7075,A hapless carnival performer masquerades as the court jester as part of a plot against a usurper who has overthrown the rightful king of England.Adventure Comedy Musical,"Court Jester, The (1956)"
7076,"Senator Walter Chalmers is aiming to take down mob boss Pete Ross with the help of testimony from the criminal's hothead brother Johnny, who is in protective custody in San Francisco under the watch of police lieutenant Frank Bullitt. When a pair of mob hitmen enter the scene, Bullitt follows their trail through a maze of complications and double-crosses. This thriller includes one of the most famous car chases ever filmed.Action Crime Drama Thriller",Bullitt (1968)
7078,"In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her.Drama",Jezebel (1938)
7079,"Paris, France, 1482. Frollo, Chief Justice of benevolent King Louis XI, gets infatuated by the beauty of Esmeralda, a young Romani girl. The hunchback Quasimodo, Frollo's protege and bell-ringer of Notre Dame, lives in peace among the bells in the heights of the immense cathedral until he is involved by the twisted magistrate in his malicious plans to free himself from Esmeralda's alleged spell, which he believes to be the devil's work.Drama","Hunchback of Notre Dame, The (1939)"
7080,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.Drama Musical Romance",42nd Street (1933)
7082,"Cathy Timberlake is en route to a job interview when a car transporting businessman Philip Shayne covers her in mud. He sends his assistant, Roger, to apologize, but upon meeting Cathy, Roger knows that she would be a suitable match for his boss. Despite their mutual attraction, Cathy and Philip want different things. Philip wants a fling, while Cathy wants a marriage. As they travel to exotic locales, their differing motivations are put to the test.Comedy Romance",That Touch of Mink (1962)
7083,"The story of Patsy Cline, the velvet-voiced country music singer who died in a tragic plane crash at the height of her fame.Drama",Sweet Dreams (1985)
7084,"A neurotic film critic obsessed with the movie Casablanca (1942) attempts to get over his wife leaving him by dating again with the help of a married couple and his illusory idol, Humphrey Bogart.Comedy Romance","Play It Again, Sam (1972)"
7085,"At one of his many visits to his doctor, hypochondriac George Kimball mistakes a dying man's diagnosis for his own and believes he only has about two more weeks to live. Wanting to take care of his wife Judy, he doesn't tell her and tries to find her a new husband. When he finally does tell her, she quickly finds out he's not dying at all (while he doesn't) and she believes it's just a lame excuse to hide an affair, so she decides to leave him.Comedy Romance",Send Me No Flowers (1964)
7086,"When linguistics professor Henry Higgins boasts that he can pass off Cockney flower girl Eliza Doolittle as a princess with only six months' training, Colonel George Pickering takes him up on the bet. Eliza moves into Higgins's home and begins her rigorous training after the professor comes to a financial agreement with her dustman father, Alfred. But the plucky young woman is not the only one undergoing a transformation.Comedy Drama",Pygmalion (1938)
7087,"Set during the period of growing influence of the Indian independence movement in the British Raj, the story begins with the arrival in India of a British woman, Miss Adela Quested, who is joining her fiancé, a city magistrate named Ronny Heaslop. She and Ronny's mother, Mrs. Moore, befriend an Indian doctor, Aziz H. Ahmed.Adventure Drama","Passage to India, A (1984)"
7088,"Young lovers Orfeu and Eurydice run through the favelas of Rio during Carnaval, on the lam from a hitman dressed like Death and Orfeu's vengeful fiancée Mira and passing between moments of fantasy and stark reality. This impressionistic retelling of the Greek legend of Orpheus and Eurydice introduced bossa nova to the world with its soundtrack by young Brazilian composers Luiz Bonfá and Antonio Carlos Jobim.Drama Romance",Black Orpheus (Orfeu Negro) (1959)
7089,"In an Italian seaside town, young Titta gets into trouble with his friends and watches various local eccentrics as they engage in often absurd behavior. Frequently clashing with his stern father and defended by his doting mother, Titta witnesses the actions of a wide range of characters, from his extended family to Fascist loyalists to sensual women, with certain moments shifting into fantastical scenarios.Comedy Drama",Amarcord (1973)
7090,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.Action Adventure Drama,Hero (Ying xiong) (2002)
7091,"Quincy Adams Wagstaff, the new president of Huxley U, hires bumblers Baravelli and Pinky to help his school win the big football game against rival Darwin U.Comedy",Horse Feathers (1932)
7092,In 19th century Russia a woman in a respectable marriage to a senior statesman must grapple with her love for a dashing soldier.Drama Romance,Anna Karenina (1935)
7093,A journalist suffering from burn-out wants to finally say goodbye to his office – but his boss doesn’t like the idea one bit.Comedy,"Front Page, The (1974)"
7096,"Portrait of Andy Goldsworthy, an artist whose specialty is ephemeral sculptures made from elements of nature.Documentary",Rivers and Tides (2001)
7099,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.Adventure Animation Drama Fantasy Sci-Fi",Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)
7101,"After leaving Washington D.C. hospital, plastic surgeon Ben Stone heads for California, where a lucrative practice in Beverly Hills awaits. After a car accident, he's sentenced to perform as the community's general practitioner.Comedy Romance",Doc Hollywood (1991)
7102,"LAPD Sgt. Joe Friday -- the equally straight-laced nephew of the famous police sergeant of the same name -- is paired up with a young, freewheeling detective named Pep Streebeck. After investigating some strange robberies at the local zoo and the theft of a stockpile of pornographic magazines, they uncover cult activity in the heart of the city and are hot on the case to figure out who's behind it all.Comedy Crime Drama",Dragnet (1987)
7103,"The luxurious villa of Mark and Jessie Bannister, a yuppie couple, is overrun by loads of uninvited guests who turn the house up side down.Comedy",Madhouse (1990)
7104,"In the days after the attack on Pearl Harbor, panic grips California, where a military officer leads a mob chasing a Japanese sub.Comedy War",1941 (1979)
7107,"A shy San Francisco librarian and a bumbling cop fall in love as they solve a crime involving albinos, dwarves, and the Catholic Church.Comedy Thriller",Foul Play (1978)
7108,"A special agent is assigned to protect a wealthy business magnate. However, when the businessman is kidnapped in a daring ambush, he teams up with a seasoned detective to crack the case. But soon he discovers the case isn't that simple.Action Crime Drama",Crime Story (Zhong an zu) (1993)
7109,"Made of four short tales, linked by a story filmed by Wim Wenders. Taking place in Ferrara, Portofino, Aix en Provence and Paris, each story, which always a woman as the crux of the story, invites to an inner travel, as Antonioni says towards the true image of that absolute and mysterious reality that nobody will ever see.Drama Romance",Beyond the Clouds (Al di là delle nuvole) (1996)
7114,"Freddie is an inept bank clerk with no future. His only hobby is collecting butterflies, which gives him a feeling of power and control that is otherwise totally missing from his life. He comes into a large sum of money and buys himself a country house. Still unable to make himself at ease socially, he starts to plan on acquiring a girlfriend - in the same manner as he collects butterflies. He prepares the cellar of the house to be a collecting jar and stalks his victim over several days.Drama Horror Thriller","Collector, The (1965)"
7115,"A musician witnesses the murder of a famous psychic, and then teams up with a fiesty reporter to find the killer while evading attempts on their lives by the unseen killer bent on keeping a dark secret buried.Horror Mystery Thriller",Deep Red (Profondo rosso) (1975)
7116,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.Horror Mystery Thriller",Diabolique (Les diaboliques) (1955)
7117,A demonic leprechaun terrorizes a group of young people whom he believes stole his gold.Comedy Horror,Leprechaun (1993)
7118,"On a future Earth, war between the Kingdom of Honneamise and its rival, The Republic, is inevitable. As evolving technology creates new ways to wage war, a small group seeks to propel mankind into space in their world’s first spaceflight program. For astronaut candidate Shirotsugh Lhadatt, it’s a personal odyssey as he grows from an aimless young man into a leader willing to put everything on the line in order to move the human race forward and away from the brink of Armageddon.Animation Drama Sci-Fi War",Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa) (1987)
7121,"When a woman attempts to kill her uncaring husband, prosecutor Adam Bonner gets the case. Unfortunately for him his wife Amanda (who happens to be a lawyer too) decides to defend the woman in court. Amanda uses everything she can to win the case and Adam gets mad about it. As a result, their perfect marriage is disturbed by everyday quarrels.Comedy Romance",Adam's Rib (1949)
7122,An ornithologist mistaken for an explosives expert is sent alone into a small French town during WWI to investigate a garbled report from the resistance about a bomb which the departing Germans have set to blow up a weapons cache.Comedy Drama War,King of Hearts (1966)
7123,"Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing.Drama Fantasy Mystery Sci-Fi",Naked Lunch (1991)
7124,"Marijuana is the most controversial drug of the 20th Century. Smoked by generations to little discernible ill effect, it continues to be reviled by many governments on Earth. In this Genie Award-winning documentary veteran Canadian director Ron Mann and narrator Woody Harrelson mix humour and historical footage together to recount how the United States has demonized a relatively harmless drug.Documentary",Grass (1999)
7125,"Trying to put himself back together after serving prison time for robbery, Paul takes a job as a parks employee in a small Connecticut town. His co-worker, Murph, a generation older than Paul, is dealing with his own issues, chiefly the the impending death of his very ill son. After the men have a run-in with local snob Frederickson, Murph's age and experience starts to temper Paul's fiery nature, as the younger man begins to embrace his new life.Drama",Spring Forward (1999)
7127,"While conveying a Porsche from Boston to Atlantic City, student Charlie has to make a stop due to engine trouble. Mistaken as rich, he's invited to a big poker game -- and wins big time. However Denny Halloran, son of a mighty mobster, is a bad loser and starts a fight. But he's also a bad fighter: he falls on his head and is dead. Now Charlie's in trouble; after he flees Halloran's father puts a reward on his head. Even the police won't help him against the mighty man... so Charlie has to run for his life.Action Drama Thriller",Run (1991)
7131,A self-made businessman rekindles a romance with a former flame while their two teenage children begin a romance of their own with drastic consequences for both couples.Drama,"Summer Place, A (1959)"
7132,The Marx Brothers take on high society and the opera world to bring two lovers together. A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.Comedy Musical Romance,"Night at the Opera, A (1935)"
7134,"Fisher, an ex-detective, decides to take one final case when a mysterious serial killer claims the lives of several young girls. Fisher, unable to find the culprit, turns to Osbourne, a writer who was once respected for his contributions to the field of criminology. Fisher begins to use Osbourne's technique, which involves empathizing with serial killers; however, as the detective becomes increasingly engrossed in this method, things take a disturbing turn.Drama Thriller","Element of Crime, The (Forbrydelsens Element) (1984)"
7137,"Bernie works at a Las Vegas casino, where he uses his innate ability to bring about misfortune in those around him to jinx gamblers into losing. His imposing boss, Shelly Kaplow, is happy with the arrangement. But Bernie finds unexpected happiness when he begins dating attractive waitress Natalie Belisario.Comedy Drama Romance","Cooler, The (2003)"
7139,A family of Irish immigrants adjusts to life on the mean streets of Hell's Kitchen while also grieving the death of a child.Drama Romance,In America (2002)
7141,"My Flesh and Blood is a 2003 documentary film by Jonathan Karsh chronicling a year in the life of the Tom family. The Tom family is notable as the mother, Susan, adopted eleven children, most of whom had serious disabilities or diseases. The film itself is notable for handling the sensitive subject matter in an unsentimental way that is more uplifting than one might expect.Documentary",My Flesh and Blood (2003)
7142,"Honey Daniels dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.Drama Romance",Honey (2003)
7143,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.Action Adventure Drama War","Last Samurai, The (2003)"
7147,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.Drama Fantasy Romance",Big Fish (2003)
7149,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.Comedy Drama Romance",Something's Gotta Give (2003)
7150,"In Martha's Vineyard, Mass., conjoined twins Walt and Bob Tenor make the best of their handicap by being the fastest grill cooks in town. While outgoing Walt hopes to one day become a famous actor, shy Bob prefers to stay out of the spotlight. When a fading Hollywood actress, Cher, decides to get her show Honey and the Beaze cancelled, she hires Walt -- and his brotherly appendage -- as her costars. But their addition surprisingly achieves the opposite.Comedy",Stuck on You (2003)
7151,"This film, adapted from a work of fiction by author Tracy Chevalier, tells a story about the events surrounding the creation of the painting Girl With A Pearl Earring by 17th century Dutch master Johannes Vermeer. A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.Drama Romance",Girl with a Pearl Earring (2003)
7153,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.Action Adventure Drama Fantasy","Lord of the Rings: The Return of the King, The (2003)"
7154,"The story of Katherine Ann Watson, a feminist teacher who studied at UCLA graduate school and in 1953 left her boyfriend behind in Los Angeles, California to teach at Wellesley College, a conservative women's private liberal arts college in Massachusetts, United States.Drama Romance",Mona Lisa Smile (2003)
7155,Members of a Yorkshire branch of the Women's Institute cause controversy when they pose nude for a charity calendar.Comedy,Calendar Girls (2003)
7156,"Using archival footage, cabinet conversation recordings, and an interview of the 85-year-old Robert McNamara, The Fog of War depicts his life, from working as a WWII whiz-kid military officer, to being the Ford Motor Company's president, to managing the Vietnam War as defense secretary for presidents Kennedy and Johnson.Documentary War","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)"
7158,"Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma.Drama",House of Sand and Fog (2003)
7160,"An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes the United States' first female serial killer.Crime Drama",Monster (2003)
7161,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.Children Comedy",Cheaper by the Dozen (2003)
7162,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.Drama Romance War",Cold Mountain (2003)
7163,"Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water.Action Sci-Fi Thriller",Paycheck (2003)
7164,"In stifling Edwardian London, Wendy Darling mesmerizes her brothers every night with bedtime tales of swordplay, swashbuckling and the fearsome Captain Hook. But the children become the heroes of an even greater story, when Peter Pan flies into their nursery one night and leads them over moonlit rooftops through a galaxy of stars and to the lush jungles of Neverland.Action Adventure Children Fantasy",Peter Pan (2003)
7165,"Ensemble drama centered around a group of ballet dancers, with a focus on one young dancer who's poised to become a principal performer.Drama Musical","Company, The (2003)"
7167,"Sandy, a geologist, finds herself stuck on a field trip to the Pilbara desert with a Japanese man she finds inscrutable, annoying and decidedly arrogant. Hiromitsu's view of her is not much better. Things go from bad to worse when they become stranded in one of the most remote regions on Earth.Drama",Japanese Story (2003)
7169,"The President's daughter, unable to experience life like a normal 18 year-old, escapes from her entourage of Secret Service agents while traveling in Europe. She falls in love with a handsome British stranger, who also happens to be working undercover for her father.Comedy Romance",Chasing Liberty (2004)
7171,"British documentarian Nick Broomfield creates a follow-up piece to his 1992 documentary of the serial killer Aileen Wuornos, a highway prostitute who was convicted of killing six men in Florida between 1989 and 1990. Interviewing an increasingly mentally unstable Wuornos, Broomfield captures the distorted mind of a murderer whom the state of Florida deems of sound mind -- and therefore fit to execute. Throughout the film, Broomfield includes footage of his testimony at Wuornos' trial.Documentary",Aileen: Life and Death of a Serial Killer (2003)
7173,"Reuben Feffer is a guy who's spent his entire life playing it safe. Polly Prince is irresistible as a free-spirit who lives for the thrill of the moment. When these two comically mismatched souls collide, Reuben's world is turned upside down, as he makes an uproarious attempt to change his life from middle-of-the-road to totally-out-there.Comedy Romance",Along Came Polly (2004)
7175,"Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey, leader of the most feared biker gang in the country. Ford is now on the run trying to clear his name from the murder with Trey and his gang looking for his blood.Action Crime",Torque (2004)
7176,"For Hussein, a pizza delivery driver, the imbalance of the social system is thrown in his face wherever he turns. One day when his friend, Ali, shows him the contents of a lost purse, Hussein discovers a receipt of payment and cannot believe the large sum of money someone spent to purchase an expensive necklace. He knows that his pitiful salary will never be enough to afford such luxury. Hussein receives yet another blow when he and Ali are denied entry to an uptown jewelry store because of their appearance. His job allows him a full view of the contrast between rich and poor. He motorbikes every evening to neighborhoods he will never live in, for a closer look at what goes on behind closed doors. But one night, Hussein tastes the luxurious life, before his deep feelings of humiliation push him over the edge.Drama",Crimson Gold (Talaye sorgh) (2003)
7177,"After the rise of the Taliban in Afghanistan and the restriction of women in public life, a pre-teen girl is forced to masquerade as a boy in order to find work to support her mother and grandmother.Drama",Osama (2003)
7178,"Nick Carraway, a young Midwesterner now living on Long Island, finds himself fascinated by the mysterious past and lavish lifestyle of his neighbor, the nouveau riche Jay Gatsby. He is drawn into Gatsby's circle, becoming a witness to obsession and tragedy.Drama","Great Gatsby, The (1974)"
7179,"Young orphan Heathcliff is adopted by the wealthy Earnshaw family and moves into their estate, Wuthering Heights. Soon, the new resident falls for his compassionate foster sister, Cathy. The two share a remarkable bond that seems unbreakable until Cathy, feeling the pressure of social convention, suppresses her feelings and marries Edgar Linton, a man of means who befits her stature. Heathcliff vows to win her back.Drama Romance",Wuthering Heights (1992)
7181,"Passengers on a ship traveling from Mexico to Europe in the 1930s represent society at large in that era. The crew is German, including the ship's Dr. Schumann, who falls in love with one of the passengers, La Condesa. A young American woman, Jenny, is traveling with the man she loves, David. Jenny is fascinated and puzzled by just who some of the other passengers are.Drama",Ship of Fools (1965)
7184,"A railroad official, Owen Legate comes to Dodson, Mississippi to shut down much of the town's railway (town's main income). Owen unexpectedly finds love with Dodson's flirt and main attraction, Alva Starr. Alva and Owen then try to escape Alva's mother's (Hazel) clutches and the town's revenge.Drama Romance",This Property is Condemned (1966)
7190,"Jane Eyre is an orphan, sent to Lowood school, and eventually becomes a governess at Thornfield hall to a girl named Adele. While she is there, many strange things happen and eventually she and Edward Rochester, owner of Thornfeild and Adele's guardian, fall in love. Suddenly, when Jane is about to win the happiness she deserves, a dark secret comes to light, and it will take all of her courage, love and understanding to triumph.Drama",Jane Eyre (1970)
7191,"Mike Lawton, Maurice Horton, and Melvin Orton are three men who come to Venice. One of them is a hit man sent to take out a mobster. Another is a lech looking for a little action with a woman he never met, whom he was set up with. And one of them was sent by his employer to inspect a property his boss wants to buy. All three men stay at the same hotel. But when the bellboy gets their names mixed up and gives info meant for someone else. So one of them meets a Realtor who will whatever she has to, to close the sale. And another follows a woman looking for romance. And another goes to the home of the mobster who thinks he's sent there to kill him.Comedy",Blame It on the Bellboy (1992)
7192,"Former Green Beret Louis Stevens returns to his hometown of Miami after completing military service in Brazil, only to learn that his old high school has become a haven for gangs and drug dealers. After Stevens uses his capoeira skills to kick several drug dealers off of the school property, Kerrigan, one of Stevens' old teachers, sees the impact that Stevens has on the students. Kerrigan gives him the task of teaching Capoeira to a handful of the worst at-risk students at the school.Action",Only the Strong (1993)
7193,"To the Los Angeles elite, Ford Fairlane is known as Mr. Rock 'n' Roll Detective. This loudmouthed ladies' man serves an exclusive rock star clientele, who depend on his keen eye and smug discretion. So when a heavy-metal musician dies mid-concert, Fairlane is on the case before the lights come up. But things turn shocking when radio personality Johnny Crunch hires Fairlane to find a missing groupie mere hours before he is electrocuted live on air.Action Comedy","Adventures of Ford Fairlane, The (1990)"
7202,"Once again tampering with mother nature to disastrous results, Dr. Herbert West continues his research while serving time in a maximum security prison for his previous exploits. West's limited prison-cell experiments are suddenly interrupted by the arrival of a new prison doctor and the brother of the girl who suffered from West's experiments 13 years earlier.Horror",Beyond Re-Animator (2003)
7205,"At the beginning of the 20th century an American woman is abducted in Morocco by Berbers, and the attempts to free her range from diplomatic pressure to military intervention.Adventure","Wind and the Lion, The (1975)"
7206,"Genial, bumbling Monsieur Hulot loves his top-floor apartment in a grimy corner of the city, and cannot fathom why his sister's family has moved to the suburbs. Their house is an ultra-modern nightmare, which Hulot only visits for the sake of stealing away his rambunctious young nephew. Hulot's sister, however, wants to win him over to her new way of life, and conspires to set him up with a wife and job.Comedy",Mon Oncle (My Uncle) (1958)
7208,"Dr. Jekyll believes good and evil exist in everyone and creates a potion that allows his evil side, Mr. Hyde, to come to the fore. He faces horrible consequences when he lets his dark side run amok.Drama Horror",Dr. Jekyll and Mr. Hyde (1941)
7209,"Monsieur Hulot, Jacques Tati’s endearing clown, takes a holiday at a seaside resort, where his presence provokes one catastrophe after another. Tati’s masterpiece of gentle slapstick is a series of effortlessly well-choreographed sight gags involving dogs, boats, and firecrackers; it was the first entry in the Hulot series and the film that launched its maker to international stardom.Comedy","M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les) (1953)"
7211,"Successful and well-liked, Dr. Noah Praetorius becomes the victim of a witchhunt at the hands of Professor Elwell, who disdains Praetorius's unorthodox medical views and also questions his relationship with the mysterious, ever-present Mr. Shunderson.Comedy Romance",People Will Talk (1951)
7212,"After marrying an American lieutenant with whom he was assigned to work in post-war Germany, a French captain attempts to find a way to accompany her back to the States under the terms of the War Bride Act.Comedy Romance",I Was a Male War Bride (1949)
7215,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.Adventure Drama Romance Thriller War,To Have and Have Not (1944)
7216,"Given a pardon from jail, Roy Earle gets back into the swing of things as he robs a swanky resort.Crime Drama Film-Noir Thriller",High Sierra (1941)
7217,A man convicted of murdering his wife escapes from prison and works with a woman to try and prove his innocence.Crime Drama Film-Noir Romance Thriller,Dark Passage (1947)
7218,"Gil Carter and Art Croft ride into a small Nevada town plagued by cattle thieves. Initially suspected of being the rustlers themselves, Carter and Croft eventually join a posse out to get the criminals, who also may be involved in a recent shooting. When the posse closes in on a group that could be the fugitives, they must decide on a course of action, with numerous lives hanging in the balance.Drama Western","Ox-Bow Incident, The (1943)"
7219,"Joe and Paul Fabrini are Wildcat, or independent, truck drivers who have their own small one-truck business. The Fabrini boys constantly battle distributors, rivals and loan collectors, while trying to make a success of their transport company.Drama",They Drive by Night (1940)
7222,"High-school principal Dr. Alfred Carroll relates to an audience of parents that marijuana can have devastating effects on teens: a drug supplier entices several restless teens, Mary and Jimmy Lane, sister and brother, and Bill, Mary's boyfriend, into frequenting a reefer house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives.Comedy Drama",Reefer Madness (a.k.a. Tell Your Children) (1938)
7223,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.Drama Film-Noir Mystery",D.O.A. (1950)
7225,"Bodybuilders compete for the titles of 1975 Mr. Olympia and Mr. Universe. Lou Ferrigno prepares to face off against five-time Mr. Universe winner, Arnold Schwarzenegger.Documentary",Pumping Iron (1977)
7228,"A bizarre accident lands Frank Harris in Cool World, a realm of cartoons. Years later, cartoonist Jack Deebs, who's been drawing Cool World, crosses over as well. He sets his lustful sights on animated femme fatale Holli Would, but she's got plans of her own to become real, and it's up to Frank to stop her.Animation Comedy Fantasy",Cool World (1992)
7234,"When Gelsomina, a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto, the carefree circus fool, and contemplates leaving Zampanò.Drama","Strada, La (1954)"
7235,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of.Action Comedy Crime Drama Horror Thriller",Ichi the Killer (Koroshiya 1) (2001)
7236,"Set in the year 2024 in post-apocalyptic America, 18-year old Vic and his telepathic dog, Blood, are scavengers in the desolate wilderness ravaged by World War IV, where survivors must battle for food and shelter in the desert-like wasteland. Vic and Blood eke out a meager existence, foraging for food and fighting gangs of cutthroats.Sci-Fi","Boy and His Dog, A (1975)"
7238,"It's May 1945, and Nazi Germany has just surrendered. The war is over, but not in Poland. As the German soldiers vacate, the remaining Russian forces and Polish resistance fighters must work out the hierarchies of power in liberated Communist Poland. A Polish assassin is given orders to kill a Russian soldier whom he, days before, was fighting alongside, and this moral conflict makes him question the goals for which he has been fighting.Drama War",Ashes and Diamonds (Popiól i diament) (1958)
7243,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.Drama",Intolerance: Love's Struggle Throughout the Ages (1916)
7245,A jazz pianist is haunted by his dead ex-lover's crawling hand and floating head.Horror Thriller,Tormented (1960)
7247,"A hapless inventor finally finds success with a flying car, which a dictator from a foreign government sets out to take for himself.Adventure Children Comedy Fantasy Musical",Chitty Chitty Bang Bang (1968)
7248,"During the 16th century, as Thailand contends with both a civil war and Burmese invasion, a beautiful princess rises up to help protect the glory of the Kingdom of Ayothaya. Based on the life of Queen Suriyothai.Action Adventure Drama War","Suriyothai (a.k.a. Legend of Suriyothai, The) (2001)"
7251,"King is a young man, but he's already a veteran of life on the streets of Los Angeles. The de facto leader of a group of teenage runaways, King acts as a mentor to troubled kids such as gay hustler Little J and junkie Greg. When Heather, a beautiful girl from Chicago, starts hanging out with King and his crew, it changes the dynamic of the gang. However, it seems as though nothing will alter their dangerous lifestyle.Drama",Where the Day Takes You (1992)
7254,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.Drama Sci-Fi Thriller",The Butterfly Effect (2004)
